username,video_id,video_url,like_count,comment_count,share_count,save_count,description,scraped_at
aliphildan,7661550340117974292,https://www.tiktok.com/@aliphildan/video/7661550340117974292,68.5K,1210,3913,1796,Mohon izin mengoreksi ✍️✨🙏🏻 #fakesituation⚠️,2026-09-02T11:00:59.941219
aliphildan,7660771877576559880,https://www.tiktok.com/@aliphildan/video/7660771877576559880,5473,113,70,64,Ya kali org semantepp gue masih gaada yg mau hufft😮‍💨✨,2026-09-02T11:02:00.572535
aliphildan,7660496285643967752,https://www.tiktok.com/@aliphildan/video/7660496285643967752,3488,76,220,175,Sakading ding alala bum bum 🐅✨ #doklip #EduKocak,2026-09-02T11:02:34.595992
aliphildan,7659275599483129109,https://www.tiktok.com/@aliphildan/video/7659275599483129109,332.4K,1139,29.6K,12.5K,MasyaAllah Tabarakallah✨ @Bang ucup @Lulu 🤎 @Acid 🔮 @stevengunardilasut @Wildan Wijaksono @iniZaidan @ridho maulana,2026-09-02T11:03:17.253952
aliphildan,7658976505694915847,https://www.tiktok.com/@aliphildan/video/7658976505694915847,398,11,135,24,Yg suka bingung pilih skincare coba dee kata gue liat ampe abiszsssz #fakesituation⚠️,2026-09-02T11:04:14.703881
aliphildan,7658607554125188372,https://www.tiktok.com/@aliphildan/video/7658607554125188372,390,11,131,24,Siapa suka mukbang?? Dengerin sampe akhir yee!,2026-09-02T11:04:54.262901
aliphildan,7658526325904330004,https://www.tiktok.com/@aliphildan/video/7658526325904330004,0,0,0,0,,2026-09-02T11:05:55.428085
aliphildan,7658206115599109394,https://www.tiktok.com/@aliphildan/video/7658206115599109394,5626,114,203,114,Ajarin joget brazil dong #fakesituation⚠️️,2026-09-02T11:06:31.722606
aliphildan,7657149144775101716,https://www.tiktok.com/@aliphildan/video/7657149144775101716,26.6K,465,1034,1572,Asli dah ngga tahan liat masih ada aja yang sembarangan mandiin bayi😭🙏🏻#fakesituation⚠ #KulitSensitif  #SabunAnak #BodyWash #Glowing,2026-09-02T11:07:13.328144
aliphildan,7657108489713618183,https://www.tiktok.com/@aliphildan/video/7657108489713618183,70.5K,1234,11.1K,2834,"Ternyata, dua jamu yang paling sering ditemui punya manfaat yang beda, lho. Beras kencur dikenal dapat membantu menghangatkan tubuh, meredakan rasa pegal, dan membuat badan terasa lebih segar. Efek ini berasal dari senyawa aktif pada kencur yang memiliki sifat antioksidan dan antiinflamasi. Sementara kunyit asem mengandung kurkumin dari kunyit dan asam jawa yang kaya antioksidan, sehingga sering dikonsumsi untuk membantu mengurangi peradangan ringan, meredakan nyeri haid pada sebagian orang, serta memberi sensasi segar.Walaupun begitu, jamu bukan obat ajaib ya. Manfaatnya bisa berbeda pada setiap orang, dan tetap sebaiknya dikonsumsi dalam jumlah yang wajar, terutama kalau ada tambahan gula. Jadi, boleh aja menikmati jamu sebagai bagian dari pola hidup sehat, tapi jangan lupa tetap makan bergizi, olahraga, dan tidur yang cukup. 🍃 #jff #fakesituation⚠",2026-09-02T11:08:06.306916
